Brand,Name,Graphics Processor__GPU Name,Graphics Processor__Architecture,Release_Year_Normalized,Memory__Memory Size,Memory__Memory Type,Memory__Memory Bus,Graphics Card__Bus Interface,Board Design__TDP,Render Config__Shading Units,Theoretical Performance__FP32 (float),Graphics Features__DirectX,Graphics Features__OpenGL,Graphics Features__Shader Model,Recommended Resolutions
AMD,Radeon R9 M485X,Amethyst,GCN 3.0,2016,8 GB,GDDR5,256 bit,unknown,250 W,2048.0,unknown,12 (12_0),4.6,6.5,Good:1366x768 | Low FPS:1600x900 | Unplayable:1920x1080
AMD,Radeon RX 455 OEM,Tobago,GCN 2.0,2016,2 GB,GDDR5,128 bit,pcie x3.0 x16,100 W,768.0,unknown,12 (12_0),4.6,6.5,Good:1366x768 | Low FPS:1600x900 | Unplayable:1920x1080
AMD,Radeon RX 460,Baffin,GCN 4.0,2016,2 GB,GDDR5,128 bit,pcie x3.0 x8,75 W,896.0,unknown,12 (12_0),4.6,6.7,Good:1366x768 | Low FPS:1600x900 | Unplayable:1920x1080
AMD,Radeon RX 460 Mobile,Baffin,GCN 4.0,2016,4 GB,GDDR5,128 bit,unknown,55 W,896.0,unknown,12 (12_0),4.6,6.7,Good:1366x768 | Low FPS:1600x900 | Unplayable:1920x1080
AMD,Radeon RX 470,Ellesmere,GCN 4.0,2016,4 GB,GDDR5,256 bit,pcie x3.0 x16,120 W,2048.0,unknown,12 (12_0),4.6,6.7,Good:1600x900 | Unplayable:1920x1080 | Unplayable:2560x1440
AMD,Radeon RX 470 Mobile,Ellesmere,GCN 4.0,2016,8 GB,GDDR5,256 bit,unknown,85 W,2048.0,unknown,12 (12_0),4.6,6.7,Good:1366x768 | Playable:1600x900 | Unplayable:1920x1080
AMD,Radeon RX 470D,Ellesmere,GCN 4.0,2016,4 GB,GDDR5,256 bit,pcie x3.0 x16,120 W,1792.0,unknown,12 (12_0),4.6,6.7,Good:1366x768 | Playable:1600x900 | Unplayable:1920x1080
AMD,Radeon RX 480,Ellesmere,GCN 4.0,2016,8 GB,GDDR5,256 bit,pcie x3.0 x16,150 W,2304.0,unknown,12 (12_0),4.6,6.7,Good:1600x900 | Low FPS:1920x1080 | Unplayable:2560x1440
AMD,Radeon RX 480 Mobile,Ellesmere,GCN 4.0,2016,8 GB,GDDR5,256 bit,unknown,100 W,2304.0,unknown,12 (12_0),4.6,6.7,Good:1600x900 | Unplayable:1920x1080 | Unplayable:2560x1440
AMD,Radeon RX 580 OEM,Ellesmere,GCN 4.0,2016,8 GB,GDDR5,256 bit,pcie x3.0 x16,150 W,2304.0,unknown,12 (12_0),4.6,6.7,Good:1600x900 | Low FPS:1920x1080 | Unplayable:2560x1440
AMD,Xbox One S GPU,Durango 2,GCN 1.0,2016,8 GB,DDR3,256 bit,unknown,95 W,768.0,unknown,12 (11_1),,5.1,Good:1280x720 | Playable:1366x768 | Low FPS:1600x900
AMD,Radeon 520 Mobile DDR3,Banks,GCN 1.0,2017,2 GB,DDR3,64 bit,unknown,50 W,320.0,unknown,12 (11_1),4.6,6.5 (5.1),Good:640x480 | Playable:1280x720 | Unplayable:1366x768
AMD,Radeon 520 Mobile GDDR5,Banks,GCN 1.0,2017,2 GB,GDDR5,64 bit,unknown,50 W,320.0,unknown,12 (11_1),4.6,6.5 (5.1),Good:640x480 | Playable:1280x720 | Unplayable:1366x768
